$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26260853$速度与激情8$阿呆同学$2017-04-12 00:08:19$1701$妈的杰森斯坦森好帅啊好帅啊好帅啊好帅啊！！ IMAX太酷炫了！
1$26260853$速度与激情8$虾坨坨艺仔$2017-04-12 21:09:29$1281$喜爱大场面的朋友们千万不要错过这部汽车版的釜山行。
555$26260853$速度与激情8$花开有声$2017-04-18 19:34:29$2$《速度与激情8》延续了赛车这个系列电影大IP以往的特点，男性荷尔蒙继续爆棚，狂飙的赛车不断刺激观影者的肾上腺，当观众走出电影院冷静下来的时候会先发现自己被骗了，剧情设计的有点太扯了
556$26260853$速度与激情8$冬季向日葵$2017-04-14 23:38:51$0$老朋友，场面大，配乐赞，炫酷美。剧情照旧俗套，不够细腻精致。最后，当听到那个名字被放在另一个人身上时，说好不要矫情，还是根本就忍不住，泪目……
557$26260853$速度与激情8$王星眸$2017-11-05 18:52:06$0$我记得上映之后网上出过“电影院速八（酒店）试睡指南”，从高中追1到8这么多年，7开始贩卖情怀的时候就有些担心这个系列了。剧情已经脱离了人们最初追求他时候的刺激，没有了最底层的最黑暗的最不羁的，剧情和电影名字都沾不上边。如果让我评分，一颗星给杰森斯坦森，不不不，英伦郭达。
558$26260853$速度与激情8$William H D Lee$2020-11-17 21:08:50$0$补
559$26260853$速度与激情8$菠菜$2017-04-16 07:47:01$1$哎这集蛮紧凑搞笑的，就是平均颜值。。。
560$26260853$速度与激情8$静·生活每天都充满阳光$2017-08-22 23:02:23$0$开场都是套路。巨石强森都可以与多姆家族一笑泯恩仇了，你们都忘了死去的韩了吗？
561$26260853$速度与激情8$Anondot$2017-07-28 20:42:23$0$这个系列可以停了，越拍越烂
562$26260853$速度与激情8$眯着眼的偎灶猫$2017-07-04 22:54:00$0$塞隆女神干煸全世界🤔
563$26260853$速度与激情8$eugne$2017-05-15 00:07:54$0$好莱坞大场面！只不过套路都是那些，人物也是这种造型。一个系列拍到第八集了，不能够苛求太多。对于片中的生硬亲情观，并未有太多的不适。
564$26260853$速度与激情8$孔乙己$2021-12-10 14:38:54$0$逐渐脱离主题
565$26260853$速度与激情8$OREZ$2017-05-08 22:26:42$0$vehicle porn。个人来说挺喜欢。对载具的想象力开发很带感。两对斗嘴搭配也恰到好处调和气氛。系列粉丝必看。7入坑的可以不看。
566$26260853$速度与激情8$少年派的崛起$2017-04-19 10:58:40$0$速度与激情系列来到第八部，没有了保罗沃克但用了唐老大反叛家庭和意外得子的梗，依旧是家庭的主题。动作场面也是越搞越大，遥控汽车雨和潜水艇飙车给人不错的视听享受。让观众一目了然看到钱都烧在了哪里。剧情无脑但看的爽看的够high就行了
567$26260853$速度与激情8$pandora刀刀$2017-04-16 18:54:03$0$有点后悔 应该安排在一念后面看 满腔的抑郁真的需要这样的片子来宣泄
568$26260853$速度与激情8$Haruko$2017-04-15 18:58:54$1$算是我看过的最好看的PPT电影吧
569$26260853$速度与激情8$什么叫苦逼男$2017-04-14 03:54:48$8$这编剧为了爽 脑子都不用了
570$26260853$速度与激情8$付玲$2017-06-16 15:35:30$0$一直在说Family，弄得我好想去全家买点啥。
571$26260853$速度与激情8$醉梦·聊生$2017-04-14 21:47:06$0$布莱恩成功消失，小分队遭遇女魔头，多姆叛变，反派一次出俩，后者自然是X因素，触发点是小多姆的安危，出来卖个萌就让潜艇在冰上狂轰滥炸，场面一如火爆，豪车混搭坦克铲车之类，冤家嘴仗不停，罗曼秀逗不断，是家人就该一如既往地相信。
572$26260853$速度与激情8$南條艾草$2017-04-16 05:25:28$1$速8，爽。
573$26260853$速度与激情8$🦉像何首乌一样$2017-04-14 22:16:00$2$激情不在，买票纯属惯性。速9大概会打机器人吧，一个猜想。
574$26260853$速度与激情8$鬼 鬼 ™$2017-05-30 20:55:32$0$可以看没尿点，只是想问拍到几才结束呢…
575$26260853$速度与激情8$哈里破特$2017-04-16 08:50:03$0$14号就看了，一直不想标记。因为真的不满意，编剧你还能再水一点吗，是拉到女神来大反派。你不觉得强行把6/7的反派一句话洗白太牵强了？飙车戏严格意义上讲只有三场，反正就是不满意。女神的造型并没有发挥她的真正气场好吗
576$26260853$速度与激情8$话事人$2017-04-18 13:53:10$0$赶紧结束吧 实在没的编了
577$26260853$速度与激情8$文森特九六$2017-04-15 11:53:06$3$打回原形
578$26260853$速度与激情8$菠萝$2019-07-21 21:52:47$0$剧情故事实在太烂了，第六部的哏重玩一遍，所以韩都白死了吗。动作场面实在出色，只是剧情太烂了，就这样吧
579$26260853$速度与激情8$包子$2017-04-16 16:43:50$0$肖家妈妈太可爱了！！！连带肖家大哥也变可爱了！虽然动作戏都很玄幻，不过五马分尸那场戏还是挺燃的哈哈哈~~~爱女狂魔也很萌，反正我还是觉得挺好看啦，虽然是挺扯，但是男性荷尔蒙真是满满！！
580$26260853$速度与激情8$当当当当$2023-02-26 10:40:57$0$神秘的物理学。
581$26260853$速度与激情8$大炎$2017-04-13 18:17:16$4$速激新三部曲的第一部，也是保罗·沃克+范·迪塞尔双核变为范·迪塞尔单核的首作，大可视为速激系列的“逆转未来”，主要是调整系列的人设和故事线，请来塞隆，洗白郭达，过瘾的同时，打下了9、10的基础…
582$26260853$速度与激情8$吃坚果的松鼠$2017-04-24 12:13:33$0$中途居然睡着了
583$26260853$速度与激情8$玛可塔$2017-04-16 19:20:14$1$看过就忘，爆米花儿
584$26260853$速度与激情8$我是你的香飘飘$2017-04-16 17:48:37$1$从爆米花片的角度来说，比6和7好看，更有想象力，但是突破仅限于飙车的形式，而非飙车本身。这个系列在5之后再难突破了，尤其是brian没了之后。作为吃这一对CP吃到死的铁杆脑残群众之一，照旧收下了8的泪点。顺带8又推了双光头嘴炮新CP……好吧，吃。总体来说值得看，婴儿全场最佳。
585$26260853$速度与激情8$信电影得永生$2017-05-28 22:55:10$0$故事弱爆了，只要速度就够了。僵尸车出场秒变玩具大战游戏。嘿嘿嘿。两星半
586$26260853$速度与激情8$田红旗$2017-04-15 17:33:42$2$又名《速度与光头与肌肉》。看到评论里有人说剧情薄弱，拜托这种特效大片谁要看剧情啊。两位肌肉大光头虽然吵架时像女人，但关键时刻还挺恩爱。不过新来的小白脸真的没法代替保罗沃克
587$26260853$速度与激情8$feet$2017-04-18 00:14:40$0$大场面，值回票价
588$26260853$速度与激情8$妄想代理7$2017-07-02 10:19:40$0$开始瞎瘠薄编了啊
589$26260853$速度与激情8$Soloの桃成蹊$2017-04-14 02:27:51$1$新技术的应用简直叹为观止，套路都差不多，只是不知道后面怎么编下去…
590$26260853$速度与激情8$Danys ┇┇ 蓄须专用$2017-05-01 22:45:33$0$失望！除僵尸车那段，几乎所有自以为傲的炫目场面都毫无想象力、或想太过（手动鱼雷），看得好累！脚趾想唐老大也不会叛变，无悬念；卖点萌就原谅郭达了？上集被他害死的韩氏夫妇真冤啊；只有女王脏辫亮点；又见小东木混眼熟；速６打坦克速７打飞机速８打潜艇，速９得打航母了？素鸡系列还没神作就奇幻
591$26260853$速度与激情8$Seraph·Snape$2017-04-25 12:02:04$1$情节也真是太扯淡了...除了飙车爆炸以外还有啥看点。这种我们是一家人啥的实在是...够够的...怎么什么事都能拿这句话凑合过去...受不了...要不是塞隆 也就两分
592$26260853$速度与激情8$你压到我腿毛了$2017-04-17 22:59:15$2$我不管啊 光看巨石强森和斯坦森打情骂俏我都可以看好几部 微笑
593$26260853$速度与激情8$热爱赴山海$2017-04-16 22:27:16$0$小baby撑起了整个速8⃣️的看点！
594$26260853$速度与激情8$mecca$2017-04-17 02:40:36$2$4/15@菲林山谷 就，僵尸车还算有点新意啦。可视化直男YY系列。重点和谁看系列。集邮电影院系列。十几块刷了个新的全景声厅系列。该类型超两小时即拒绝评论系列。
595$26260853$速度与激情8$西凉虫$2017-07-23 13:35:02$0$就丧尸车很好玩，速度系列在国内热度为什么这么高，简直令人费解。
596$26260853$速度与激情8$超人叔叔$2017-04-18 21:33:38$1$全靠杜比全景声撑场面 中场没忍住又睡着了...
597$26260853$速度与激情8$巨星泡饭$2017-05-03 12:29:16$0$人工智能的遥控汽车僵尸雨叹为观止，令人想起僵尸世界大战
598$26260853$速度与激情8$罗夏$2017-07-02 22:25:13$1$这个乱七八糟，没有逻辑，每个主角看着都很蠢的系列的看点究竟是什么呢？
599$26260853$速度与激情8$char$2017-10-22 21:58:35$0$飞机上看的，第一部速激
