$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35372742$无名$比目鱼很好$2023-03-05 18:14:08$2$程耳导演真的用心了，从头到尾明明有这么多可以会心一笑的点
131$35372742$无名$thresh1120$2023-01-22 14:15:39$211$无疑是罗曼蒂克消亡史的延续。无论是剧情，镜头语言，还是剪辑，以及人物关系，都不由让人想起来罗曼，是复刻还是呼应？只是浅野忠信更有张力，罗曼里各个人物都刻画得很棒，哪怕是戏份很少的闫妮和倪大红。也许程耳想弥补一些拍罗曼时的遗憾，所以换了个时空，场景和角度，去再拍抗战时的上海和香港。打戏很棒，程式美学依旧，俯瞰，远景，郊外，字幕，桌椅，血水，西装，日料。但是逻辑关系，感觉要弱于罗曼，就像罗曼里喂猫的一份秋刀鱼让人念念不忘杀人者的温情一面，还有倪大红的清粥小菜，袁泉的点心，而无名吃了N场饭，只有醉虾的跳动有点意思。毕赣的路边野餐是无法言说的好，但同样手法的地球最后的夜晚不忍直视。这个类比不太公平，因为罗曼实在优秀，而无名也没有很差。感谢大年初一有人请我看电影。
132$35372742$无名$爱是谁的猫是谁$2023-01-22 14:09:07$80$程耳好牛程耳好牛程耳好牛！比罗曼完美！
133$35372742$无名$happy跃$2023-01-22 11:26:32$525$朋友硬是塞的票，爸妈听说是谍战就说去吧。去之前就听说导演的作品有故作高深的问题，果然，一个小时都不知道干嘛，就看到咱国人被残害。大过年的看着真是遭罪啊。黑黝黝的镜头，装模作样的拍摄手法。演技我就不说了，演的是啥啊，导演卡大头令人难受。只有女演员是美的，但更多旗袍的美。
134$35372742$无名$笨蛋哈密瓜$2023-02-09 22:39:23$2$退步了
135$35372742$无名$Dolbyyyds$2023-02-15 21:47:39$6$卧底类型的电影，影片整体还是非常有美感的，视野很开阔，画面、构图，摄影都不错。
136$35372742$无名$江上傒人$2023-04-13 19:07:50$0$故事整体比较平淡，叙事有点割裂
137$35372742$无名$🔚$2023-01-27 01:53:00$15$"转折都很好猜就算了，怎么能如此生硬🫥plus戏份安排有捧人嫌疑不过这个前后有所呼应的剪辑还可以"
138$35372742$无名$我不熬夜$2023-01-22 11:41:04$346$我只能说不愧是程耳！空镜和氛围拉满！超级多细节和隐喻！是一部需要静下心来去感受的电影，上海话、普通话、日语交织真的好带感！2023第一部喜欢的电影！
139$35372742$无名$呵呵$2023-01-22 11:35:57$111$等我二刷！！！
140$35372742$无名$白芷$2023-03-05 00:50:26$2$演技全员在线，台词少，考验演员功底。对羊和狗的意向暗示表示赞许👍一路猜猜猜，一路中中中。
141$35372742$无名$reki$2023-03-22 20:50:04$0$镜头氛围细节确有，开篇剪辑较吸引，空境；片尾香港部分以及最后一句台词反转非常没必要；年青演员演技需加强调整；视觉语言设计感略强；仍然差点意思，希望有机会能看到原版
142$35372742$无名$丽江$2023-04-10 14:36:54$0$画面赏心悦目 细节考究 表演中规中矩 梁朝伟很出彩 但故事性是不是差了点 剪辑突兀
143$35372742$无名$林下风致—$2023-04-08 13:06:35$4$是真难看
144$35372742$无名$429颗橘子糖$2023-01-22 13:12:50$442$无名，超出预期！
145$35372742$无名$芒果酸奶$2023-01-22 12:16:53$472$王一博演技真的一言难尽，张婧仪都比他演得好。上海话没字幕，看不懂说什么。大过年的还是适合去看合家欢的电影。
146$35372742$无名$车海畅游$2023-01-22 12:45:29$1$9.0/10暗流涌动，张弛有度，梁朝伟好帅！推荐观看！
147$35372742$无名$豆友5516774098$2023-01-22 13:42:32$477$难看，浪费时间和金钱
148$35372742$无名$Zhihao$2023-02-17 14:01:48$5$看罗曼蒂克消亡史就像把自己的眼睛抠出来，这部片子一样。
149$35372742$无名$初日升$2023-01-22 13:49:43$535$冲着“梁朝伟”走进电影院的。无名先生是老了，比易先生话多了，味道还在。开头阴暗色调渲染的侧影沉默、压抑，让人心动，黑皮鞋踩那一下更是踩到我心尖尖上了，几秒就值了。♥
150$35372742$无名$豆友EAfiqPhaXs$2023-04-11 14:14:04$0$偏文艺的抗日谍战片，前半略显平庸，后半有提升。某人的表演不功不过，可能是由于预期不高，实际观感高于期待值，动作戏加分。结尾的双重反转过于刻意。
151$35372742$无名$无情浪潮人$2023-02-02 21:58:42$12$个人蛮喜欢的（
152$35372742$无名$好好的$2023-04-20 10:33:37$0$细节拉满，构图精巧。凭他的眼界与能力，不过是一省一市。你不会的，真正想刨腹自尽的人是不会说出来的。
153$35372742$无名$lilyqingchuan$2023-01-22 11:30:48$67$妈妈呀，值了，我要再去二刷，三刷，忍住，不剧透，啊啊啊啊啊啊啊，耳，爱死你了，你是我亲大爷。
154$35372742$无名$lily666$2023-01-22 11:49:46$26$别的不多说，就是好看的电影不多，无名就是好看的电影！推荐大家一起去看看👍🏻
155$35372742$无名$炸酱面$2023-04-14 10:41:51$0$首先，不谈剧本，先看拍摄，程耳这代导演在极力模仿王家卫那种慢热、含蓄、浓墨重彩的风格，但给人的感觉却是空洞且干瘪的，像极了现在“精修、美颜”出来的“锥子脸、大眼睛”的明星和网红，对应电影中“恰到好处的打光、干净的墙壁和地板、僵硬的面部表情”，且不说王家卫也不是在他所有电影中都能把这种风格恰到好处地把控到位，更不用说让观众两个多小时都在焦急地等待这种刻意的表达什么时候才是个头了。其次，咱说说剧本，其实并不怪我们当年不爱上历史课，而是因为书上就根本没写全当时的几大势力——国民、日本、苏共、中共、汪伪、其他，我们就在残缺不全的架构中，学着定义模糊词语下的历史，也难怪我很纳闷电影中为什么汪伪要说“吃不惯日料，把老蒋骂的体无完肤“，如果了解当时这些，一下子就能看出来梁朝伟肯定不是真的汪伪。难怪评分低
156$35372742$无名$笨笨熊$2023-01-22 11:45:12$182$看过的电影中最难看的一部，呆若木鸡的演技！
157$35372742$无名$夕颜$2023-01-22 11:42:31$24$想看新声代青年演员王一博和影帝梁生能碰撞出什么样的火花！看完只想说卧槽！
158$35372742$无名$annan木木$2023-01-22 11:21:23$465$这也太难看了，坐在电影院里都是煎熬。大段大段无聊的对白，也听不懂，电影是为观众而产生的，不是特定人。求求王一博别演电影了，公主你也别接烂片了，迅你也吃烂钱了，这么点戏份。
159$35372742$无名$逍恸$2023-01-22 14:15:13$836$节奏太混乱了…镜头像是在刻意凹美感，我愿称之为小视频合集之王一博的眼泪大秀
160$35372742$无名$Ojbk$2023-01-22 13:19:49$94$。。。。什么钱都赚只会害了你们啊
161$35372742$无名$隧道表面$2023-01-22 11:41:41$325$把观众当傻子逗...不是不能这么剪，但既然想炫颠倒式蒙太奇的技，就应该把节奏把控好，前半段真的是让人昏昏欲睡...
162$35372742$无名$Troye🥕$2023-01-22 11:35:50$101$3.5
163$35372742$无名$豆友1285694950$2023-04-10 11:17:57$1$个人很喜欢，虽然时间线不是顺序但介绍的很清晰，很多隐喻，看得很震撼，不得不说剪辑和导演的水平很高，赞。
164$35372742$无名$豆友Zsdz-xCmig$2023-01-22 13:04:41$225$看了，两个字退钱
165$35372742$无名$Aaron$2023-04-17 21:08:19$0$故弄玄虛 歷史是隨意打扮的小姑娘
166$35372742$无名$栗小红🍣$2023-03-02 21:38:10$2$喜欢两个狗狗的对比，喜欢美术喜欢对称，周迅和梁拥抱的时候脸部肌肉的颤抖特别感人。王一博没表情的时候帅的很啊，怎么只要一有表情就又丑又肿，看他的演技真的很煎熬。还有音乐有点用力过猛了，不能因为演不出来就强加悬疑音乐吧。黄磊/梁台词call back有点刻意而且最后结尾加的两番完全没必要。
167$35372742$无名$豆友19790118$2023-01-22 12:32:20$457$冲梁朝伟周迅去看的属实没必要，什么烂电影，剧情烂流量演技烂，浪费时间。
168$35372742$无名$琥珀川$2023-04-16 01:33:48$0$看到用狗子对比和影射那里，最后狗子被炸死就绷不住了，小日本你等着，这血海深仇迟早要报!!
169$35372742$无名$陆六六$2023-02-01 21:40:20$12$演员好看，镜头好看，老上海的腔调还是很喜欢的，西装旗袍真好看！故事交代的还是挺清楚的，画面很漂亮，视觉还是挺享受的。可能有的人觉得墨迹吧我觉得美足够了，哈哈哈而且剧情不是那么水
170$35372742$无名$momo$2023-02-27 14:16:18$0$电影的审美很对我胃口，但是如果叶先生换一个人来演我会再多给一颗星
171$35372742$无名$Patrick$2023-04-10 14:59:51$0$“改编不是乱编，创作不是瞎说，艺术家的追求呢，艺术家的节操呢”这部剧毋庸置疑最大的争议点就是王一博。说好听点，全片一个表情一条过，展现了卧底的从容不迫。说难听点，真就尼玛绷着个脸拍全片啊。就这还给他怼脸拍独角戏？（你好好一个爱豆，街舞实力这么可以，真的别来沾演员的边了）电影风格很奇特，我管这叫乱序，这种风格我个人不喜欢，纯个人，这种风格就跟我面试一样，想到哪说到哪。“你觉得他不合理，就找个底，把它升华合理”，但这个底它兜不住啊，就且说那段打斗戏，你为了让它获取信任，有必要这么打吗？是真打，往死里的那种打，最后告诉我只是为了做的真一点？最后，我要吐槽王传君，开始对他反感，你觉得爱情公寓抄袭，为了艺术追求，直接走了。现在又为什么要和小鲜肉同台搭戏呢？
172$35372742$无名$蜜桃冰乌龙$2023-01-22 13:52:52$51$好看！早场有优惠，不枉我起个早
173$35372742$无名$鑫鑫发财$2023-01-22 11:27:46$122$无名好看啊会二刷
174$35372742$无名$dandande$2023-02-17 15:28:42$4$7.5剧情很紧凑，全员演技在线，不过让伟仔说普通话确实会让注意力在说话上，无名的英文居然是隐藏锋芒，没想到又意外合适。
175$35372742$无名$福泥泥鸭$2023-01-22 13:11:44$313$爱豆演戏真的不行，王一博根本没有演技，剧情没有逻辑很无聊，看了一会就出来了，还不如出去溜达晒太阳，真是浪费时间
176$35372742$无名$xoxosos$2023-03-15 22:20:35$0$还可以
177$35372742$无名$W薇$2023-02-10 15:02:37$3$王传君你是想和梁朝伟拍戏才接的这个本子吗？
178$35372742$无名$柠檬子$2023-03-09 23:55:32$2$程耳的风格，看大家接受度，其实并不难看的，甚至我真觉得这里的服装造型西装旗袍真的美得绝伦。而且很多上海话上海文化好评～是有很多剧情不足之处，长短板都很明显，不过算是贡献了近年来算精彩的近身肉搏战，那段很好看
179$35372742$无名$下水道寄居蟹$2023-01-26 06:33:27$55$除了把熟悉的民国间谍故事特意剪乱时间线这一点稍显做作外，算是部好看的电影，挺有味的。
180$35372742$无名$7个汉字$2023-01-22 13:04:11$160$技术毋庸置疑，除了配乐有时不合时宜，大鹏比较出彩，but ，政治不是简单的党派对立，历史不是肤浅的你死我亡的儿童掐架。没有深度客观的思考和明确的观点表达，多少打光和镜头设计都弥补不了，说好听点是单纯，说不好听点……以及，导演因为省力或者献媚把重心放到了人物(的表面)，而忽略了解释他们的信仰和态度才是支柱，造成反派有表达，正派失语的尴尬局面。曾经罗曼蒂克的光华时刻，终究是因为众所周知的熟悉原因，消亡了。
181$35372742$无名$漩涡$2023-04-19 01:59:02$0$睡着了两次，，，
182$35372742$无名$红薯玉米蛋包饭$2023-01-22 11:36:55$194$禁止用影帝做宣传吸引人然后整那些名不副实的。。。。闹心巴拉的。
183$35372742$无名$Hope&amp;Joke$2023-04-16 20:59:34$0$就是欣赏程耳导演的审美
184$35372742$无名$一个废柴$2023-01-22 11:36:50$263$依托答辨，不知所云，果然是有王一博就是烂片，梁朝伟晚年不保
185$35372742$无名$方聿南$2023-01-22 16:55:26$5$《无名》的谍战戏里全员高阶谋略玩家，人人衣装工整喜怒不兴，句句出口都藏着潜台词，在这精致的黑暗旋涡里，连大鹏这样常逗人乐的笑咖，也戏路大拐弯，整肃好表情，释放起寒意森森，在残酷的智谋游戏里显手段。出场时还不觉得此人段位如何，随着阴谋算计一步步显露，只见大鹏厚厚的眼镜片后面，那若有若无的似笑非笑，让人不寒而栗，鹰隼一样的目光时而可以杀人。某个时机他将计划娓娓摊牌道来，尽显情义寡漠和老奸巨猾，让人难以与银幕上常见的那个憨笑搞怪的大鹏联想到一起。大鹏的表演与整个电影中危机四伏、人命如草芥的肃杀气氛，颇为相得益彰。出道以来大鹏多次以转型给人惊喜，而此番表演，无疑再度令人刮目相看。
186$35372742$无名$亚森罗萍$2023-04-14 12:45:56$0$电影还行，但不少文化程度低的长评导致减分。
187$35372742$无名$柿子大蝦雞蛋面$2023-04-20 19:27:09$0$平平淡淡！毫无波澜…………
188$35372742$无名$酒也時開$2023-04-10 19:48:33$3$程耳的镜头比强迫症还漂亮精致。程耳的叙事比我的未来还像一团乱麻。
189$35372742$无名$编号24601$2023-04-10 23:49:53$0$摄影和调色都很好，剪辑就不太行了，拉到片尾一看，是导演剪接，那就不出奇了，并不是很良好的一个剪辑表述。然后不是说王演技不行，而且撑不住这种题材，接不住戏也顶不住。
