$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35312437$奇迹·笨小孩$25%$2022-02-01 16:10:01$17927$过程才是现实，结尾只是理想。
538$35312437$奇迹·笨小孩$道上拍人$2022-03-17 11:15:37$1$节奏紧凑，完整度非常高的好电影，前半部分轻松喜剧，后半部分让人捏一把汗，小女孩演技太好了，国产励志类型片的上乘之作，唯一不足就是缺少让人眼前一亮的某一刻出现。
539$35312437$奇迹·笨小孩$劳永逸$2022-06-10 09:43:05$0$没啥意思。
540$35312437$奇迹·笨小孩$于成$2022-06-30 14:54:26$4$工厂里的散兵游勇为什么如此团结，交代得不够。每次遇到困境，也总有贵人相助或者就能逢凶化吉。底子里倒是有几分左翼电影的味道，但格调太亮。所谓温暖现实主义，就是一碗温吞的鸡汤吧。
541$35312437$奇迹·笨小孩$GALAXY$2022-04-16 16:46:49$41$有点失望 所有套路都能猜到
542$35312437$奇迹·笨小孩$雨苔思音$2022-05-15 08:19:13$1$跟着家人看了一下，贵在四平八稳，很标准的励志电影。
543$35312437$奇迹·笨小孩$djj$2022-05-16 17:52:30$0$有钱真好——三观不正。道不同不相为谋。显示就应该到房子被收回哪里，那样才真实。
544$35312437$奇迹·笨小孩$咖啡不加糖$2022-05-01 16:00:25$9$一个煽情励志片，整了一堆小品演员是怎么个意思。然后如果没有手机这个元素，时代感比较模糊了
545$35312437$奇迹·笨小孩$山城影院清洁工$2022-05-08 21:14:21$4$好好的现实主义题材电影，为什么胡乱添加浪漫主义和成功学呢？
546$35312437$奇迹·笨小孩$NanSLi$2022-04-15 13:53:27$1$虚像之力。
547$35312437$奇迹·笨小孩$Puss9_9$2022-03-06 17:24:22$0$剧情中规中矩，没有突兀的地方。易烊千玺进步了。
548$35312437$奇迹·笨小孩$别管我辣$2022-02-01 16:34:24$5$好景常在
549$35312437$奇迹·笨小孩$炸弹味的POPCOPN$2022-02-02 11:10:26$67$看之前很期待，看之后感想很多，觉得每个人都不容易，世上没有奇迹，而我要创造奇迹。
550$35312437$奇迹·笨小孩$竹傲风$2022-04-18 01:02:09$1$我们都知道，疫情来了；我们也知道，大过年的。但是……
551$35312437$奇迹·笨小孩$影子熊揉着眼睛$2022-05-31 12:01:33$4$前面是个写实主旋律，有很多视觉上、情绪上、甚至动作设计上做的很棒的点，但这是一个不允许悲情的故事，甚至结尾硬抬的很魔幻。还有就是某些演员真的不合适。
552$35312437$奇迹·笨小孩$哎呀呀呀呀呀$2022-02-01 10:19:23$665$他用命守护的不仅是那批旧手机，更是他妹妹的命。他们为之欢笑的不仅是所得如愿，更是生活里的那束阳光。
553$35312437$奇迹·笨小孩$执笔戏流年$2022-04-17 21:19:48$21$好景常在。妹妹生病，没钱交房租，没钱交厂租，手指骨折......在合格率出来的那一刻，一切终于见到光明了。
554$35312437$奇迹·笨小孩$想乱思$2022-04-17 17:29:35$0$5
555$35312437$奇迹·笨小孩$慢吞吞的小君仔$2022-05-10 20:21:29$17$小人物的奋斗史，坚韧又动人！哭了好多次。易烊千玺和小哈琳的演技太棒了！坚强哥哥与懂事妹妹的组合，妹妹问哥哥「你很累吧？谢谢你」破大防😭😭😭
556$35312437$奇迹·笨小孩$若电影没有结束$2022-05-21 18:12:49$11$"文导，每年贡献一部这样的电影不过分吧？虽然故事是很普通，但电影节奏把握得很好啊，演员演得也特别棒！
易烊千玺未来可期！小妹妹好可爱好漂亮！"
557$35312437$奇迹·笨小孩$长星照耀十三州$2022-06-07 19:17:25$1$主旋律框架下的命题作文，假，空洞。所谓困难根本就是披着困难外衣的恩赐机遇，那么，也就谈不上什么奇迹了。
558$35312437$奇迹·笨小孩$momo$2022-02-02 21:28:24$37$好像不把人整哭的电影就不叫电影了？
559$35312437$奇迹·笨小孩$一只特特呦$2022-02-21 08:53:46$1$"这是奇迹，但没有笨小孩。
文牧野拍的好比较成熟的电影，玩的好套路与深情。看得到小人物的不要命的拼搏，也穿插了诸多的不走运和一些冷漠，全片感情起伏很大，所有人都有美好的结局(没钱了吗？直接放ppt)。
密密麻麻的平房压的人透不过气，耸立的高楼仿佛万箭穿心，那些幸福与欢笑不过是苦中作乐的一场梦。"
560$35312437$奇迹·笨小孩$momo$2022-06-07 00:35:16$11$很假先不说，其他我不敢说，那就这样吧。。。。
561$35312437$奇迹·笨小孩$读书走路的幺米$2022-02-05 08:03:46$8$中规中矩，像喝了一杯白开水，说不出来不好，但是也没啥滋味～不过小人物小事件放大很好，就一个故事线看起来不会疲劳～
562$35312437$奇迹·笨小孩$喵的薛定谔$2022-03-01 20:41:16$1$295367人评7.4分  电影是造梦的艺术，这部电影算是体现得淋漓尽致了。
563$35312437$奇迹·笨小孩$电动小马达$2022-04-17 20:05:28$4$笨小孩很多，奇迹真没多少。
564$35312437$奇迹·笨小孩$好消息$2022-04-20 16:49:27$2$不太喜欢结尾成功那段，小资本家依附大资本家的感觉，我是真不喜欢强行对别人感恩戴德。景浩妈妈看着俩孩子，说的那句，我也不想走啊，真给我弄哭了
565$35312437$奇迹·笨小孩$啥都不懂的小高$2022-04-18 22:12:00$2$敢拼才会赢，确实一点都没错。不赌会死，赌一把至少还有生的希望。事在人为，扛过去就好了。
566$35312437$奇迹·笨小孩$taming$2022-04-19 13:06:07$0$路难走，实在太难走了。
567$35312437$奇迹·笨小孩$时而沧桑$2022-05-03 16:47:46$7$过程拍得挺现实的，我现在很看好易烊千玺的演技
568$35312437$奇迹·笨小孩$痞人纯良$2022-03-28 17:04:16$0$3.5 文导优秀命题作文。
569$35312437$奇迹·笨小孩$马猴烧酒甜崽$2022-02-01 17:08:25$650$"慢慢好起来的故事
太苦了"
570$35312437$奇迹·笨小孩$暴走君$2022-06-12 13:24:43$1$没毛病 但太固定范式了
571$35312437$奇迹·笨小孩$ReMinD$2022-04-20 00:54:50$2$"流畅 没有拖剧情没有过多的废话 要表达的意思也到位了。
当然比起药神还是有所差距 最明显的就是太难以共情 且不说这个拆手机作坊的用处如何 且说这样能做成。我还是对他们之后能成立公司成功报怀疑态度。 当然 造梦嘛 给奋斗者们灌碗鸡汤也是可以。"
572$35312437$奇迹·笨小孩$niania糖🍬文森$2022-04-25 04:53:00$0$【2.5】
573$35312437$奇迹·笨小孩$桥豆麻袋$2022-04-30 22:58:43$9$赶药神还是差太多了。演员演技在线，但剧情上还差点意思。
574$35312437$奇迹·笨小孩$一天$2022-04-17 20:03:30$1$看见平凡人的努力！刚开始觉得就是爽文吧，但是谁不是在自己的生活里拼尽全力呢？
575$35312437$奇迹·笨小孩$.$2022-03-23 02:39:26$7$太爱四字弟弟了！
576$35312437$奇迹·笨小孩$旺仔小王子$2022-04-16 00:07:03$21$深圳真是个奇迹之城/每个人物都安排了结局，我真的会恍惚他们是有原型的
577$35312437$奇迹·笨小孩$WSi$2022-06-04 03:40:07$0$《当幸福来敲门》青春版。故事节奏很好，但部分剧情太失智，交不起房租为啥不直接在厂房里住宁可赖着被赶走，就为了进行一个当幸福来敲门吗。旧手机是全部家当与希望，不保管好就为了进行一个追逐戏吗。也无法理解主角为啥不愿意把旧手机卖回收炼金商，说这犯法可开场时他还是想把手机卖给奸商做翻新机卖，多少有点相悖了。
578$35312437$奇迹·笨小孩$焦迈奇$2022-04-16 21:03:58$119$边看边哭......作为一个深二代，电影里的某些片段真的让我感同身受
579$35312437$奇迹·笨小孩$张乙心$2022-05-14 00:49:49$3$with小黄。结局的时候我说不会产品合格率不够吧？小黄说太阳都出来了，怎么会，风雨过后就会有彩虹。我问他，小黄的彩虹什么时候来？小黄说，不知道呀。我说，你应该说，我就没有下雨。我真的好爱他。ps.我喝多了，自己炫了一瓶红酒。他给我炫了个啤酒。嘎哈
580$35312437$奇迹·笨小孩$leoglory$2022-04-10 06:36:05$1$跟药神确实差了好几个档次，前期的强行卖惨和后期的强行煽情都体现了剧本的薄弱，人物单线条没层次，场景调度也是生硬刻意。
581$35312437$奇迹·笨小孩$L.L$2022-04-15 02:54:12$0$许愿：明天会更好.
582$35312437$奇迹·笨小孩$左翼富婆$2022-05-14 15:09:30$0$运气真好。
583$35312437$奇迹·笨小孩$石墙$2022-04-24 01:48:07$0$导演对节奏的掌控能力依旧不俗，但是故事本身的冲突实在很单一，跟前作中那些复杂的伦理困境无法相比。
584$35312437$奇迹·笨小孩$hcc$2022-05-04 11:12:22$0$现实机遇被迫前行，很有教育意义的片子！
585$35312437$奇迹·笨小孩$想做一只寄居蟹$2022-02-02 17:11:22$49$不错的故事
586$35312437$奇迹·笨小孩$🐰小灰兔🐰$2022-05-02 02:49:22$1$不错
587$35312437$奇迹·笨小孩$某S$2022-02-04 15:17:11$13$到结尾前都挺好的
588$35312437$奇迹·笨小孩$沐莜彤$2022-02-01 10:26:42$625$笑中带泪，还好最后成功了
589$35312437$奇迹·笨小孩$oranges$2022-04-21 00:31:37$0$三星半。除了结局太光明，还不错
590$35312437$奇迹·笨小孩$顾鹏$2022-05-19 10:15:29$11$平凡人需要奋斗可以换来的童话奇迹。
591$35312437$奇迹·笨小孩$黑水为炽$2022-04-19 11:13:34$3$文牧野的电影有一个很好的地方就是把草根阶层的男女老少全照顾到了。整体没有那么惊艳但也可以打个“良好”。四字弟弟挑大梁把这个人物立住了，妹妹好灵，兄妹互动好有爱。结尾如果停在电梯里会更好。“药神”其他人的客串有趣。总体而言是一部暖心的作品。
592$35312437$奇迹·笨小孩$【胜予】$2022-04-15 18:10:31$34$有笑有泪
593$35312437$奇迹·笨小孩$A-Mian$2022-05-10 20:20:21$0$好看啊
594$35312437$奇迹·笨小孩$英俊咯$2022-02-01 15:26:01$864$真的非常好看！有笑有泪，全程被景浩的情绪所牵动。 
595$35312437$奇迹·笨小孩$心之呢喃$2022-02-17 23:44:51$0$好久没去电影院了，还是这种过年春节档电影。作为今年在春节档最有潜力的电影，也是文牧野的第二部长篇，《奇迹》这电影还是很好的完成了一部电影的任务。以2014年为背景，讲述深圳小伙以回收手机配件为行当，努力创业的故事。故事歌颂了一代人的奋斗青春，虽然主角应该是瞎编的，但里面是不是有一些真实人物的影子还是很让人浮想联翩的。整体故事节奏中规中矩，就是过程遇到挫折召集一帮奇奇怪怪的同伴克服困难，接着遇到更大的困难，最后大家凝成一股绳最终完成不可能完成的任务。典型的早期主旋律电影的风格，也因为如此，这部电影看起来还是太程式化了，除了说的是手机这个行业，缺乏新意更凸显了老派的意味，所以仅当作合家欢电影是过硬的，有些人从电影里看到自己创业的艰辛也说的过去，对于大多数人来讲，可能不那么那么优秀，但也没有大问题。
596$35312437$奇迹·笨小孩$迪士尼在逃气球$2022-02-05 19:38:10$9$3.5～四字弟弟真的演什么像什么！还有就是大家的生活都不容易，不要轻易评价别人的生活～～
597$35312437$奇迹·笨小孩$邻舍的老花猫$2022-05-17 15:58:09$0$这才叫类型片，功力稳定的文导又带来一部佳片。
598$35312437$奇迹·笨小孩$Yeahhhh$2022-05-20 02:14:39$31$景浩长了一张拿奖的脸。
599$35312437$奇迹·笨小孩$列车长&amp;solaris$2022-02-09 08:48:26$1$主角没有人物弧光，显得单薄了些。不过易烊千玺凭借自己身上矛盾的少年稚气和成熟偏执，很大程度上弥补了这点缺失。
